rung,fold,seed,slice_name,n_rows,n_positive,n_negative,auprc,auroc,recall_at_fpr_0_1,recall_at_fpr_1,recall_at_fpr_5,ece_equal_mass,brier
frozen_probe,0,42,jbb_behaviors,200,100,100,0.5228845223233747,0.49760000000000004,,0.03,0.07,0.18852018702775244,0.28278697064429653
frozen_probe,0,42,xstest,450,200,250,0.5736831654382281,0.6336200000000001,,0.03,0.115,0.08620210506849817,0.23844016659565853
frozen_probe,0,42,pooled_ood,1101,412,689,0.40838733666190863,0.5853724266208238,,0.0024271844660194173,0.02669902912621359,0.11870393852663515,0.2455846973238772
frozen_probe,0,43,jbb_behaviors,200,100,100,0.6162625257113994,0.6011500000000001,,0.07,0.11,0.17190707176923756,0.2553681281109067
frozen_probe,0,43,xstest,450,200,250,0.47647988354896753,0.56136,,0.005,0.035,0.1104609998812278,0.2529361078135331
frozen_probe,0,43,pooled_ood,1101,412,689,0.3617699167014202,0.5156956754547889,,0.0,0.02669902912621359,0.13456642700124066,0.2596609474577823
frozen_probe,0,44,jbb_behaviors,200,100,100,0.5371547835915962,0.5064500000000001,,0.03,0.08,0.16262356348335746,0.282331007761412
frozen_probe,0,44,xstest,450,200,250,0.47473081876356393,0.53249,,0.015,0.07,0.0850306398338742,0.25346347335099334
frozen_probe,0,44,pooled_ood,1101,412,689,0.3708410593319835,0.5205729423534883,,0.0048543689320388345,0.03398058252427184,0.11267494981419922,0.2568530942217982
frozen_probe,1,42,jbb_behaviors,200,100,100,0.5810406232192658,0.56615,,0.04,0.11,0.21916022796183826,0.278713013700726
frozen_probe,1,42,xstest,450,200,250,0.4863477342767141,0.55437,,0.02,0.035,0.10920838624238967,0.25701335006505555
frozen_probe,1,42,pooled_ood,1101,412,689,0.3738792702982347,0.545177688221286,,0.0,0.0,0.13840032701839866,0.26640912078268647
frozen_probe,1,43,jbb_behaviors,200,100,100,0.6165477429050732,0.5964499999999999,,0.08,0.11,0.15299299240112305,0.2549635594515908
frozen_probe,1,43,xstest,450,200,250,0.46725225420588634,0.55031,,0.015,0.035,0.10152528134485085,0.25503168971551327
frozen_probe,1,43,pooled_ood,1101,412,689,0.3641948422290684,0.5188538334718954,,0.0,0.03155339805825243,0.1250052096273117,0.25714082929377524
frozen_probe,1,44,jbb_behaviors,200,100,100,0.5339339423216076,0.4963,,0.04,0.1,0.16702060397714383,0.2843121048135491
frozen_probe,1,44,xstest,450,200,250,0.4537001734544255,0.5110199999999999,,0.005,0.05,0.10691444416840873,0.2583532725746004
frozen_probe,1,44,pooled_ood,1101,412,689,0.36339267312965406,0.5137053137373708,,0.0024271844660194173,0.03398058252427184,0.11498123217885002,0.2604651558778049
